"","rep_col","generation","pop_size","resist_genotypes","crop_genotypes","percentage_resistant","percentage_crop_eaters"
"1",1,1,1600,9,9,55.0625,55.25
"2",1,2,1600,9,9,84.875,84.875
"3",1,3,1600,9,9,91.9375,91.625
"4",1,4,1600,9,9,94.9375,95
"5",1,5,1600,9,9,96.5,95.9375
"6",1,6,1600,9,9,97.1875,96.9375
"7",1,7,1600,9,9,97.875,97.75
"8",1,8,1600,9,9,98.8125,97.9375
"9",1,9,1600,9,9,98.0625,98.75
"10",1,10,1600,9,9,11,9.9375
"11",1,11,1600,9,9,77.0625,77.6875
"12",1,12,1600,8,8,90.25,89.3125
"13",1,13,1600,8,9,93.1875,92.625
"14",1,14,1600,9,8,96.0625,96
"15",1,15,1600,8,9,97.3125,96.125
"16",1,16,1600,8,8,97.25,97.75
"17",1,17,1600,8,9,98.0625,98.5625
"18",1,18,1600,9,8,98.4375,98.25
"19",1,19,1600,8,9,98.5625,98.25
"20",1,20,1600,9,9,17.1875,5.9375
"21",1,21,1600,8,9,78.75,73.6875
"22",1,22,1600,8,9,88.9375,87.6875
"23",1,23,1600,8,9,93.75,92.5
"24",1,24,1600,8,9,96.375,95.4375
"25",1,25,1600,7,8,97,96.8125
"26",1,26,1600,8,9,97.875,97.1875
"27",1,27,1600,8,9,98,98.0625
"28",1,28,1600,8,9,98.625,98.25
"29",1,29,1600,8,9,99.0625,98.0625
"30",1,30,1600,8,9,4.375,6.1875
"31",1,31,500,8,8,79,76.4
"32",1,32,1600,9,9,88.5,89.6875
"33",1,33,1600,9,9,92.9375,92.875
"34",1,34,1600,9,9,95.25,96.5625
"35",1,35,1600,9,9,96.25,96.625
"36",1,36,1600,9,8,98.1875,97.75
"37",1,37,1600,9,9,98.3125,98
"38",1,38,1600,9,9,98.25,98.3125
"39",1,39,1600,8,9,98,98.6875
"40",1,40,1600,9,9,5.1875,8.6875
